<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ВТБ ао;D;20191022;000000;0.04397;0.04397;0.04332;0.0437;23986860000;1046187041
ВТБ ао;D;20191023;000000;0.043655;0.04366;0.04228;0.0432;52946890000;2276204642.55
ВТБ ао;D;20191024;000000;0.04319;0.04319;0.04253;0.042855;28824840000;1235118630.55
ВТБ ао;D;20191025;000000;0.04286;0.0433;0.042375;0.042985;30165350000;1293710319.15
ВТБ ао;D;20191028;000000;0.04308;0.04354;0.042655;0.042825;22783580000;981549398.75
ВТБ ао;D;20191029;000000;0.042825;0.04306;0.042595;0.04306;14475340000;620826108.05
ВТБ ао;D;20191030;000000;0.04315;0.043875;0.042945;0.0435;35116580000;1526484606.05
ВТБ ао;D;20191031;000000;0.04359;0.04376;0.0427;0.04309;28055700000;1214096818.65
ВТБ ао;D;20191101;000000;0.043075;0.04333;0.04282;0.043145;16201530000;697843832.7
ВТБ ао;D;20191105;000000;0.0437;0.0441;0.0434;0.044025;30721450000;1341299106.4
ВТБ ао;D;20191106;000000;0.044025;0.04468;0.0438;0.0442;89818010000;3967593737
ВТБ ао;D;20191107;000000;0.044035;0.04475;0.043605;0.0443;50741450000;2254773426.2
ВТБ ао;D;20191108;000000;0.044165;0.04625;0.04381;0.046;100806820000;4580315432.25
ВТБ ао;D;20191111;000000;0.046075;0.04734;0.045675;0.04695;95332660000;4459479935.95
ВТБ ао;D;20191112;000000;0.046995;0.048;0.046595;0.047;75167860000;3567623297.25
ВТБ ао;D;20191113;000000;0.046835;0.048;0.04595;0.04733;71195710000;3333478094.3
ВТБ ао;D;20191114;000000;0.0475;0.04788;0.046465;0.047065;47914520000;2255223568.1
ВТБ ао;D;20191115;000000;0.04706;0.047145;0.04653;0.04692;23204580000;1086673223.95
ВТБ ао;D;20191118;000000;0.046755;0.04722;0.04614;0.0462;24715930000;1152608291.4
ВТБ ао;D;20191119;000000;0.04626;0.04695;0.0461;0.04646;22817710000;1060893257.35
ВТБ ао;D;20191120;000000;0.04614;0.04645;0.045735;0.046;25076850000;1155919172.65
ВТБ ао;D;20191121;000000;0.0459;0.046375;0.04556;0.045995;21408010000;985547895.9
ВТБ ао;D;20191122;000000;0.046035;0.04636;0.04592;0.04619;14648100000;675940584.45
ВТБ ао;D;20191125;000000;0.04623;0.04659;0.0461;0.04625;10532000000;488198186.2
ВТБ ао;D;20191126;000000;0.0463;0.046365;0.045705;0.045875;21916290000;1006585279.8
ВТБ ао;D;20191127;000000;0.04587;0.046;0.045755;0.0458;10459450000;479994594.85
ВТБ ао;D;20191128;000000;0.04581;0.045935;0.0453;0.04543;18181300000;827355782.5
ВТБ ао;D;20191129;000000;0.04536;0.04568;0.04509;0.04533;20112070000;911498573.7
ВТБ ао;D;20191202;000000;0.0455;0.04563;0.044765;0.044915;25424410000;1148902024.45
ВТБ ао;D;20191203;000000;0.044865;0.044965;0.044015;0.044245;29181220000;1293719363.45
ВТБ ао;D;20191204;000000;0.04413;0.044785;0.043905;0.044595;20635620000;915260820.2
ВТБ ао;D;20191205;000000;0.044685;0.044845;0.04427;0.044715;11720720000;522420053.3
ВТБ ао;D;20191206;000000;0.044715;0.045275;0.04462;0.045275;16962870000;763209445.3
ВТБ ао;D;20191209;000000;0.04527;0.04545;0.044815;0.04545;18242500000;825645262.3
ВТБ ао;D;20191210;000000;0.04522;0.04565;0.044965;0.04517;17959850000;813919617.2
ВТБ ао;D;20191211;000000;0.045185;0.045485;0.0451;0.045305;12330540000;558513409.8
ВТБ ао;D;20191212;000000;0.045355;0.04545;0.045075;0.045355;16774560000;759696215.15
ВТБ ао;D;20191213;000000;0.045475;0.04656;0.0454;0.04635;43271730000;1997317503.55
