<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;230519;000000;115.45;118.2;114.05;115.65;44184802
VTBR;D;230522;000000;116.975;117.4;113.05;114.425;34192934
VTBR;D;230523;000000;115.625;119;114;118.3;60447758
VTBR;D;230524;000000;118.875;120.35;116.45;118.125;58280064
VTBR;D;230525;000000;118;118.75;114.4;116.1;50939320
VTBR;D;230526;000000;115.7;118.2;114.4;116.25;44336832
VTBR;D;230529;000000;117.275;117.95;114.625;116.025;43823944
VTBR;D;230530;000000;114.275;115.975;111.4;112.425;46281522
VTBR;D;230531;000000;111.8;112.375;109.775;111;35220856
VTBR;D;230601;000000;111.275;111.8;106.325;107.125;38876124
VTBR;D;230602;000000;102.55;113.75;101.15;113.15;123712568
VTBR;D;230605;000000;113.3;115.15;108.5;109.525;59774860
VTBR;D;230606;000000;109.225;113.125;107.3;111.675;42818998
VTBR;D;230607;000000;111.725;116.225;111.6;114.8;72117240
VTBR;D;230608;000000;114.575;115.85;113.375;113.75;33895088
VTBR;D;230609;000000;114.1;115.375;113.25;113.925;23717976
VTBR;D;230613;000000;115.05;116.65;114.075;115.1;36724128
VTBR;D;230614;000000;115.6;116.15;114.6;115.25;20936790
VTBR;D;230615;000000;115.2;115.5;113.8;115.25;21716236
VTBR;D;230616;000000;115.3;115.825;113.425;114.875;22139564
VTBR;D;230619;000000;114.7;115.3;113.9;114.425;17454906
VTBR;D;230620;000000;114.1;114.5;111.825;113.475;22948288
VTBR;D;230621;000000;113.475;115;112.625;113.875;18100960
VTBR;D;230622;000000;113.6;114.075;104.5;111.65;24553976
VTBR;D;230623;000000;111.025;112.625;108;110;41830840
VTBR;D;230626;000000;111.375;111.75;107.125;109.4;37958600
VTBR;D;230627;000000;109.7;110.775;108.05;109.05;25717848
VTBR;D;230628;000000;109.125;109.75;108;108.375;15455362
VTBR;D;230629;000000;108.25;109.75;107.75;109.025;19231332
VTBR;D;230630;000000;109.075;109.675;108.225;108.425;10159424
VTBR;D;230703;000000;108.925;110.45;108.375;110.45;22592834
VTBR;D;230704;000000;110.725;113.475;110.35;112.15;43448390
VTBR;D;230705;000000;112.625;113.325;111.025;112.2;19751176
VTBR;D;230706;000000;112.25;112.775;111.475;112.075;19526798
VTBR;D;230707;000000;112.175;112.55;110.125;112.425;16967882
VTBR;D;230710;000000;113.25;115.125;113.1;115.05;27859190
VTBR;D;230711;000000;115.1;117.25;114.25;116.8;51620290
VTBR;D;230712;000000;117.15;117.425;115.1;116;30171994
VTBR;D;230713;000000;116.15;116.75;114.5;115.375;19286580
VTBR;D;230714;000000;115.25;116.85;114.7;116.375;17236284
VTBR;D;230717;000000;115.425;116.725;114.575;116.15;17023912
VTBR;D;230718;000000;116.325;118.375;116.1;117.7;31678816
VTBR;D;230719;000000;118.025;118.175;116.4;116.75;16735640
VTBR;D;230720;000000;117;117.05;113.55;113.8;27076860
VTBR;D;230721;000000;114.025;115.575;113.8;115.175;16315418
VTBR;D;230724;000000;115.5;116.45;115.075;116.125;11482982
VTBR;D;230725;000000;116.275;117.05;115.9;116.55;12534140
VTBR;D;230726;000000;116.6;117.8;116.05;117.45;18244912
VTBR;D;230727;000000;117.775;126.5;117.725;125.5;102836074
VTBR;D;230728;000000;125.65;126.425;123.175;125.4;45425838
VTBR;D;230731;000000;126.75;129.75;126.2;129.075;50345836
VTBR;D;230801;000000;129.55;130;127.075;128.15;39043078
VTBR;D;230802;000000;128.15;128.425;126.7;128;19619196
VTBR;D;230803;000000;127.75;136.55;127.075;135.35;85055338
VTBR;D;230804;000000;135.5;137.75;129.7;132.625;78426234
VTBR;D;230807;000000;133.1;135.2;128.15;130.375;40847094
VTBR;D;230808;000000;130;133.3;127;133.3;44345768
VTBR;D;230809;000000;133.55;134.825;131.2;132.725;24249928
VTBR;D;230810;000000;133.425;144;132.625;142.75;129890752
VTBR;D;230811;000000;142.675;144.1;140.4;141.5;49400136
VTBR;D;230814;000000;143.2;143.95;136.35;137.3;60450698
VTBR;D;230815;000000;136.2;139.95;135.275;135.975;38479904
VTBR;D;230816;000000;136.575;137.025;131.275;133.875;44462752
VTBR;D;230817;000000;135.025;140.4;132.775;139.225;40755954
VTBR;D;230818;000000;139.5;141.6;138.025;139.8;39169452
VTBR;D;230821;000000;140.625;141.2;138.575;139.35;20628208
VTBR;D;230822;000000;139.325;139.5;137.525;138.675;19531412
VTBR;D;230823;000000;139.05;139.05;133.85;135.1;32112892
VTBR;D;230824;000000;135.975;138.25;134.525;138.125;20190684
VTBR;D;230825;000000;138.1;140.225;137.5;139.275;22519450
VTBR;D;230828;000000;139.825;142.5;139.75;142.175;27678512
VTBR;D;230829;000000;142.2;143.2;140.25;141.2;25028800
VTBR;D;230830;000000;141.525;141.875;139.25;140.5;17131646
VTBR;D;230831;000000;140.9;145.875;140.75;144.125;52830304
VTBR;D;230901;000000;144.125;144.95;142.875;143.95;17380318
VTBR;D;230904;000000;144.975;146.925;144.45;146.475;27592180
VTBR;D;230905;000000;146.375;146.575;143.5;144.975;30078470
VTBR;D;230906;000000;144.975;144.975;141.575;142.575;19753618
VTBR;D;230907;000000;142.5;143.575;135.375;137.725;46274406
VTBR;D;230908;000000;138.35;138.7;133.675;135.95;32488226
VTBR;D;230911;000000;135.7;137.725;132.6;133.325;34173090
VTBR;D;230912;000000;134.675;137.1;133.5;136.775;26167022
VTBR;D;230913;000000;137;137.875;132.775;133.35;21617782
VTBR;D;230914;000000;133.525;134.1;129.625;133.025;32401618
VTBR;D;230915;000000;133.325;135.9;132.45;135.425;22352978
VTBR;D;230918;000000;136.2;136.875;133.35;134.35;19114586
VTBR;D;230919;000000;134.35;134.35;128.15;128.35;40677822
VTBR;D;230920;000000;128.25;130;124.525;127.7;46237788
VTBR;D;230921;000000;127.425;128.35;122.575;123;33156198
VTBR;D;230922;000000;123.575;126.25;122.4;125.625;29371030
VTBR;D;230925;000000;125.95;126.75;124.275;125.6;16859098
VTBR;D;230926;000000;125.275;128.575;123.4;127.5;26420308
VTBR;D;230927;000000;127.8;129.425;126.7;128.075;18464662
VTBR;D;230928;000000;128.125;129.925;127.2;129.025;20831554
VTBR;D;230929;000000;129.55;130.5;127.75;128.5;19215964
VTBR;D;231002;000000;128.75;129.35;126;126.55;17580980
VTBR;D;231003;000000;126.3;126.9;124.475;125.95;18203956
VTBR;D;231004;000000;125.7;126.9;124;124.45;14689448
VTBR;D;231005;000000;124.45;125.125;123.15;123.975;15119172
VTBR;D;231006;000000;124.925;125.85;123.2;125.75;15628602
VTBR;D;231009;000000;126.8;127.925;126.175;127.35;26840098
VTBR;D;231010;000000;127.225;127.625;126.25;126.7;12440864
VTBR;D;231011;000000;127;127.35;123.7;124.225;17488198
VTBR;D;231012;000000;124.25;125.975;123.75;125.875;12566970
VTBR;D;231013;000000;125.85;128.2;125.2;126.9;16323968
VTBR;D;231016;000000;127.45;130.7;127.2;129.9;24010732
VTBR;D;231017;000000;129.825;132.375;129.25;130.975;27935528
VTBR;D;231018;000000;131.275;131.975;128.8;130.6;18238912
VTBR;D;231019;000000;130.275;131.95;129.325;130.85;13688490
VTBR;D;231020;000000;131.1;131.125;128.65;129.975;17653546
VTBR;D;231023;000000;130.325;131.5;129.825;130.55;12699508
VTBR;D;231024;000000;130.475;133.825;129.925;133.075;21559604
VTBR;D;231025;000000;133.025;134.35;131.5;131.975;18953462
VTBR;D;231026;000000;132.325;132.7;127.5;127.75;31752572
VTBR;D;231027;000000;128;128.5;124.75;126.65;28011536
VTBR;D;231030;000000;126.5;127.45;125.475;125.8;10476986
VTBR;D;231031;000000;125.5;127.05;124.5;126.575;15885378
VTBR;D;231101;000000;126.7;127.725;125.6;126;14215086
VTBR;D;231102;000000;126.3;126.675;124.6;125.275;12924236
VTBR;D;231103;000000;125.25;125.6;123.475;124.5;13017456
VTBR;D;231106;000000;124.675;126.85;124.525;126.825;7997432
VTBR;D;231107;000000;126.775;127.725;125.525;125.85;13086248
VTBR;D;231108;000000;125.9;127.225;125.275;126.075;12546412
VTBR;D;231109;000000;126.1;126.325;124.7;125.025;10424218
VTBR;D;231110;000000;125.075;125.725;124.225;124.525;11085714
VTBR;D;231113;000000;124.55;125;123.525;123.875;10837712
VTBR;D;231114;000000;123.475;123.475;120.05;120.525;24700914
VTBR;D;231115;000000;120.475;123.125;120.275;122.175;16909354
VTBR;D;231116;000000;122.2;122.875;120.5;120.75;8566496
VTBR;D;231117;000000;120.65;122.2;119.7;121.925;11877996
VTBR;D;231120;000000;122.225;122.975;121.1;122.075;8499592
VTBR;D;231121;000000;121.7;122.75;121.275;122.4;6826822
VTBR;D;231122;000000;122.575;126;122.425;126;18932684
VTBR;D;231123;000000;126;126.5;124.3;124.55;11154590
VTBR;D;231124;000000;124.675;125.8;123.55;124.225;12252172
VTBR;D;231127;000000;124.4;124.975;121.25;121.5;13843022
VTBR;D;231128;000000;122.125;122.15;118.9;120.65;14969830
VTBR;D;231129;000000;120.75;121.475;119.3;119.5;8761934
VTBR;D;231130;000000;119.45;119.75;117.5;119.425;14581582
