<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
USDRUB_TOD;D;16/06/23;000000;83.6825;84;83.4075;83.99;0;0
USDRUB_TOD;D;20/06/23;000000;84.195;84.6975;84.025;84.6875;0;0
USDRUB_TOD;D;21/06/23;000000;84.7;84.98;83.79;83.8075;0;0
USDRUB_TOD;D;22/06/23;000000;83.85;84.07;83.4225;84.035;0;0
USDRUB_TOD;D;23/06/23;000000;84.3425;84.845;83.6;84.6825;0;0
USDRUB_TOD;D;26/06/23;000000;85.32;87.29;84.24;85.325;0;0
USDRUB_TOD;D;27/06/23;000000;84.7275;85.23;84.4025;85.14;0;0
USDRUB_TOD;D;28/06/23;000000;84.5525;86.51;84.5525;86.5;0;0
USDRUB_TOD;D;29/06/23;000000;86.5;87.54;85.7475;87.245;0;0
USDRUB_TOD;D;30/06/23;000000;87.53;89.56;87.2525;89.25;0;0
USDRUB_TOD;D;03/07/23;000000;89.255;89.7;88.125;88.8725;0;0
USDRUB_TOD;D;05/07/23;000000;89.72;91.07;89.2825;90.6325;0;0
USDRUB_TOD;D;06/07/23;000000;90.99;93.85;90.99;91.11;0;0
USDRUB_TOD;D;07/07/23;000000;91.8;92.725;90.965;90.9725;0;0
USDRUB_TOD;D;10/07/23;000000;91.4;91.9925;90.305;90.8525;0;0
USDRUB_TOD;D;11/07/23;000000;90.5;91.055;89.8;90.3875;0;0
USDRUB_TOD;D;12/07/23;000000;90.0125;90.94;90.0125;90.56;0;0
USDRUB_TOD;D;13/07/23;000000;91;91.3625;89.7625;90.135;0;0
USDRUB_TOD;D;14/07/23;000000;90;90.47;89.72;90.2;0;0
USDRUB_TOD;D;17/07/23;000000;90.2;90.9975;90.2;90.6175;0;0
USDRUB_TOD;D;18/07/23;000000;90.865;91.055;90.4675;90.88;0;0
USDRUB_TOD;D;19/07/23;000000;90.98;91.44;90.775;91.3;0;0
USDRUB_TOD;D;20/07/23;000000;91.03;91.325;90.305;90.3725;0;0
USDRUB_TOD;D;21/07/23;000000;90.2025;90.955;89.995;90.8975;0;0
USDRUB_TOD;D;24/07/23;000000;91;91.1375;90.19;90.545;0;0
USDRUB_TOD;D;25/07/23;000000;90.51;90.5125;89.8375;90.2075;0;0
USDRUB_TOD;D;26/07/23;000000;90.34;90.4825;89.9;90.2;0;0
USDRUB_TOD;D;27/07/23;000000;90.1975;90.7075;89.77;90.7075;0;0
USDRUB_TOD;D;28/07/23;000000;90.7;91.7275;90.295;91.4525;0;0
USDRUB_TOD;D;31/07/23;000000;91.9975;92.5975;91.25;91.355;0;0
USDRUB_TOD;D;01/08/23;000000;91.695;92.25;91.4675;92.21;0;0
USDRUB_TOD;D;02/08/23;000000;92.3;94.105;91.995;93.99;0;0
USDRUB_TOD;D;03/08/23;000000;94.625;94.92;93.4175;94.7125;0;0
USDRUB_TOD;D;04/08/23;000000;94.695;95.9;94.3275;95.9;0;0
USDRUB_TOD;D;07/08/23;000000;95.47;97.1125;94.97;95.6775;0;0
USDRUB_TOD;D;08/08/23;000000;96.1125;97.4825;95.515;97.1525;0;0
USDRUB_TOD;D;09/08/23;000000;97.1;98.06;96.73;97.6;0;0
USDRUB_TOD;D;10/08/23;000000;96.8275;97.8875;96.5025;97.51;0;0
USDRUB_TOD;D;11/08/23;000000;97.64;99.39;97.5425;98.87;0;0
USDRUB_TOD;D;14/08/23;000000;99.5;101.7525;97.5;98;0;0
USDRUB_TOD;D;15/08/23;000000;95.04;99.17;95.04;98.9175;0;0
USDRUB_TOD;D;16/08/23;000000;96.8975;97.655;94.0025;94.8;0;0
USDRUB_TOD;D;17/08/23;000000;94.995;95.5575;92.5475;93.6125;0;0
USDRUB_TOD;D;18/08/23;000000;93.6;93.9325;92.575;93.7525;0;0
USDRUB_TOD;D;21/08/23;000000;93.825;94.7125;93.0725;93.9975;0;0
USDRUB_TOD;D;22/08/23;000000;93.965;94.5075;93.5;94.235;0;0
USDRUB_TOD;D;23/08/23;000000;94;94.98;93.9025;94.1;0;0
USDRUB_TOD;D;24/08/23;000000;94.925;94.9925;94.19;94.45;0;0
USDRUB_TOD;D;25/08/23;000000;94.8;102.4675;94.4925;95.3075;0;0
USDRUB_TOD;D;28/08/23;000000;95.45;95.86;95.0625;95.21;0;0
USDRUB_TOD;D;29/08/23;000000;95.45;96.25;95.21;95.5225;0;0
USDRUB_TOD;D;30/08/23;000000;95.79;96.165;95.6825;96.015;0;0
USDRUB_TOD;D;31/08/23;000000;96.255;96.7825;95.675;95.81;0;0
USDRUB_TOD;D;01/09/23;000000;96.1925;96.6675;95.75;96;0;0
USDRUB_TOD;D;05/09/23;000000;96.895;97.8225;96.895;97.74;0;0
USDRUB_TOD;D;06/09/23;000000;98.395;98.395;97.4025;97.9925;0;0
USDRUB_TOD;D;07/09/23;000000;98.3;98.5425;97.2225;98.325;0;0
USDRUB_TOD;D;08/09/23;000000;98.35;98.555;97.6;97.815;0;0
USDRUB_TOD;D;11/09/23;000000;97.5;97.5;95.455;95.555;0;0
USDRUB_TOD;D;12/09/23;000000;95.0025;95.3475;92.425;95.0425;0;0
USDRUB_TOD;D;13/09/23;000000;94.95;96.76;94.4825;96.2;0;0
USDRUB_TOD;D;14/09/23;000000;96.4475;96.945;95.65;96.5425;0;0
USDRUB_TOD;D;15/09/23;000000;96.9;97.19;96.035;96.5675;0;0
USDRUB_TOD;D;18/09/23;000000;96.8675;97.18;96.19;96.4225;0;0
USDRUB_TOD;D;19/09/23;000000;96.6225;96.7825;95.8425;96.2425;0;0
USDRUB_TOD;D;20/09/23;000000;96.2825;97;96.2825;96.3925;0;0
USDRUB_TOD;D;21/09/23;000000;96.4875;96.605;95.345;95.945;0;0
USDRUB_TOD;D;22/09/23;000000;96;96.2475;95.3;95.91;0;0
USDRUB_TOD;D;25/09/23;000000;96.45;96.505;95.9;96.15;0;0
USDRUB_TOD;D;26/09/23;000000;96.25;96.3625;95.985;96.25;0;0
USDRUB_TOD;D;27/09/23;000000;96.25;96.5925;96.2275;96.49;0;0
USDRUB_TOD;D;28/09/23;000000;96.77;97.255;96.5475;96.85;0;0
USDRUB_TOD;D;29/09/23;000000;96.85;97.92;96.7925;97.62;0;0
USDRUB_TOD;D;02/10/23;000000;97.88;99.19;97.88;99.155;0;0
USDRUB_TOD;D;03/10/23;000000;100.1125;100.1125;99.01;99.2575;0;0
USDRUB_TOD;D;04/10/23;000000;99.7;99.82;99.1575;99.6875;0;0
USDRUB_TOD;D;05/10/23;000000;99.7;100.1825;99.45;100.06;0;0
USDRUB_TOD;D;06/10/23;000000;100.4;101.39;99.68;100.43;0;0
USDRUB_TOD;D;10/10/23;000000;100.2;100.87;99.2525;100.125;0;0
USDRUB_TOD;D;11/10/23;000000;100.3;100.6975;99.6;99.9825;0;0
USDRUB_TOD;D;12/10/23;000000;97.375;97.65;96.225;97.25;0;0
USDRUB_TOD;D;13/10/23;000000;97.2;97.9;96.87;97.27;0;0
USDRUB_TOD;D;16/10/23;000000;97.29;97.72;96.94;97.315;0;0
USDRUB_TOD;D;17/10/23;000000;97.4;97.5;97.125;97.4225;0;0
USDRUB_TOD;D;18/10/23;000000;97.7;97.85;97.07;97.3025;0;0
USDRUB_TOD;D;19/10/23;000000;97.51;97.54;96.755;96.91;0;0
USDRUB_TOD;D;20/10/23;000000;96.83;97.3125;95.2;95.4175;0;0
USDRUB_TOD;D;23/10/23;000000;95.35;95.7675;94.19;94.695;0;0
USDRUB_TOD;D;24/10/23;000000;94.615;94.615;93.22;93.3975;0;0
USDRUB_TOD;D;25/10/23;000000;93.2;93.425;92.715;93.23;0;0
USDRUB_TOD;D;26/10/23;000000;93.2;94.375;92.55;93.5;0;0
USDRUB_TOD;D;27/10/23;000000;94.04;94.3525;92.44;93.7125;0;0
USDRUB_TOD;D;30/10/23;000000;93.75;94.2775;92.71;93.1675;0;0
USDRUB_TOD;D;31/10/23;000000;92.8;93.6825;91.58;93.3;0;0
USDRUB_TOD;D;01/11/23;000000;93.35;93.725;92.46;92.7275;0;0
USDRUB_TOD;D;02/11/23;000000;92.7225;93.335;92.7;93.1825;0;0
USDRUB_TOD;D;03/11/23;000000;93.2475;93.5575;92.15;92.15;0;0
USDRUB_TOD;D;07/11/23;000000;92.6;92.915;92.14;92.375;0;0
USDRUB_TOD;D;08/11/23;000000;92.375;92.435;91.7175;91.805;0;0
USDRUB_TOD;D;09/11/23;000000;92.5;93.12;91.705;91.915;0;0
USDRUB_TOD;D;10/11/23;000000;92.13;92.2375;91.845;92.08;0;0
USDRUB_TOD;D;13/11/23;000000;92.445;92.4525;91.74;91.75;0;0
USDRUB_TOD;D;14/11/23;000000;91.8225;91.8875;90.36;90.5075;0;0
USDRUB_TOD;D;15/11/23;000000;90.41;90.44;88.75;89.345;0;0
USDRUB_TOD;D;16/11/23;000000;89.425;89.59;88.5475;88.97;0;0
USDRUB_TOD;D;17/11/23;000000;89.185;90.19;88.85;89.9875;0;0
USDRUB_TOD;D;20/11/23;000000;90.4275;90.4275;88.1025;88.3;0;0
USDRUB_TOD;D;21/11/23;000000;88.32;88.6;87.63;87.86;0;0
USDRUB_TOD;D;22/11/23;000000;88.0025;88.5025;87.7625;88.3825;0;0
USDRUB_TOD;D;24/11/23;000000;88.9325;89.225;88.2025;88.5475;0;0
USDRUB_TOD;D;27/11/23;000000;88.775;89;88.235;88.445;0;0
USDRUB_TOD;D;28/11/23;000000;88.8075;89.1325;88.5025;89;0;0
USDRUB_TOD;D;29/11/23;000000;89;89.3075;88.335;88.63;0;0
USDRUB_TOD;D;30/11/23;000000;88.41;89.38;88.305;89.38;0;0
USDRUB_TOD;D;01/12/23;000000;89.385;90.35;89.0025;90.345;0;0
USDRUB_TOD;D;04/12/23;000000;91.365;91.365;90.29;90.7225;0;0
USDRUB_TOD;D;05/12/23;000000;91.1125;92.315;90.835;92.315;0;0
USDRUB_TOD;D;06/12/23;000000;92.5775;93.2975;91.8475;92.4075;0;0
USDRUB_TOD;D;07/12/23;000000;92.94;93.51;92.1375;92.7975;0;0
USDRUB_TOD;D;08/12/23;000000;92.1;92.3625;90.8325;91.5925;0;0
USDRUB_TOD;D;11/12/23;000000;91.99;92.1975;90.43;91;0;0
USDRUB_TOD;D;12/12/23;000000;90.4975;90.625;89.7975;90.1;0;0
USDRUB_TOD;D;13/12/23;000000;90.1575;90.1975;89.555;89.8225;0;0
USDRUB_TOD;D;14/12/23;000000;89.9475;90.295;89.295;90.295;0;0
USDRUB_TOD;D;15/12/23;000000;90;90.46;89.3825;90.1475;0;0
USDRUB_TOD;D;18/12/23;000000;90.065;91.065;89.8675;90.0525;0;0
USDRUB_TOD;D;19/12/23;000000;90.1;90.4975;89.8625;90.4525;0;0
USDRUB_TOD;D;20/12/23;000000;90.6;91.0125;90.04;91.0125;0;0
USDRUB_TOD;D;21/12/23;000000;90.9;92.7175;90.44;92.0375;0;0
USDRUB_TOD;D;22/12/23;000000;92.2975;92.8;91.7;92.2;0;0
USDRUB_TOD;D;26/12/23;000000;91.6875;92.055;91.3475;91.58;0;0
USDRUB_TOD;D;27/12/23;000000;91.8675;92.0425;91.32;91.485;0;0
USDRUB_TOD;D;28/12/23;000000;91.0425;91.18;89.22;89.5;0;0
USDRUB_TOD;D;29/12/23;000000;89.1475;90.47;86.325;88.3475;0;0
USDRUB_TOD;D;09/01/24;000000;91.6;91.6;88.96;89.1;0;0
USDRUB_TOD;D;10/01/24;000000;89.9375;90;88.9925;89.8525;0;0
USDRUB_TOD;D;11/01/24;000000;89.2775;89.505;88.52;88.5625;0;0
USDRUB_TOD;D;12/01/24;000000;88.5975;88.65;87.6625;88.54;0;0
USDRUB_TOD;D;16/01/24;000000;87.975;94.8225;86.7025;87.7575;0;0
USDRUB_TOD;D;17/01/24;000000;88.3975;88.895;87.8775;88.7;0;0
USDRUB_TOD;D;18/01/24;000000;88.9675;89.625;88.49;89;0;0
USDRUB_TOD;D;19/01/24;000000;89.0575;89.2225;88.09;88.2025;0;0
USDRUB_TOD;D;22/01/24;000000;88.42;88.5125;87.6825;87.8025;0;0
USDRUB_TOD;D;23/01/24;000000;87.8;88.43;87.565;88.19;0;0
USDRUB_TOD;D;24/01/24;000000;88.745;88.745;88.0625;88.4475;0;0
USDRUB_TOD;D;25/01/24;000000;88.73;89.2075;88.34;89.07;0;0
USDRUB_TOD;D;26/01/24;000000;89.1225;89.775;88.8525;89.55;0;0
USDRUB_TOD;D;29/01/24;000000;89.7975;90.185;88.8275;88.9;0;0
USDRUB_TOD;D;30/01/24;000000;88.9975;89.8025;88.6025;89.5725;0;0
USDRUB_TOD;D;31/01/24;000000;89.59;89.95;89.3;89.8625;0;0
USDRUB_TOD;D;01/02/24;000000;89.9975;90.45;89.7875;90.35;0;0
USDRUB_TOD;D;02/02/24;000000;90.4975;91.1275;90.35;90.6025;0;0
USDRUB_TOD;D;05/02/24;000000;90.7225;91.4775;90.0725;90.1725;0;0
USDRUB_TOD;D;06/02/24;000000;90.5025;91.1;90.3425;91.0975;0;0
USDRUB_TOD;D;07/02/24;000000;91.075;91.265;90.765;91.0025;0;0
USDRUB_TOD;D;08/02/24;000000;91.12;91.435;91;91.005;0;0
USDRUB_TOD;D;09/02/24;000000;91.4;92.685;90.2;90.93;0;0
