<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GC;D;231011;000000;1873.4;1892.1;1871.7;1890.4;163753
GC;D;231012;000000;1890.6;1898.3;1880.6;1886.1;152306
GC;D;231013;000000;1886;1944.3;1885.9;1942.5;273949
GC;D;231016;000000;1945.9;1945.9;1921.2;1929.5;188699
GC;D;231017;000000;1929.4;1955.9;1926.8;1950.3;171955
GC;D;231018;000000;1950.2;1975.8;1947.6;1958.1;244936
GC;D;231019;000000;1958;1994.3;1957;1989.6;254415
GC;D;231020;000000;1989.6;2009.2;1984.7;1990.8;233845
GC;D;231023;000000;1993.1;1994.3;1971;1987.9;215837
GC;D;231024;000000;1987.8;1990.3;1964.6;1983.9;179360
GC;D;231025;000000;1983.8;1998.5;1973.6;1997.3;199791
GC;D;231026;000000;1997.3;2003.7;1981.6;1997.8;191337
GC;D;231027;000000;1997.8;2019.7;1986.4;2015.6;179976
GC;D;231030;000000;2016.3;2016.8;1999.7;2001.5;183377
GC;D;231031;000000;2001.5;2017.7;1985.4;1985.6;204549
GC;D;231101;000000;1985.6;2005.9;1978.5;1993.2;172964
GC;D;231102;000000;1993.3;1999.2;1986.3;1993.1;134315
GC;D;231103;000000;1993.1;2011.9;1989.3;1999.9;191364
GC;D;231106;000000;1999.9;2000.1;1977.4;1977.9;149069
GC;D;231107;000000;1977.8;1980.8;1962.8;1973.7;151421
GC;D;231108;000000;1973.8;1975.3;1952.8;1954.4;139858
GC;D;231109;000000;1954.4;1971.5;1948.3;1962.6;161702
GC;D;231110;000000;1962.6;1962.9;1936.9;1939.9;143493
GC;D;231113;000000;1942.7;1953.5;1935.6;1948.5;138578
GC;D;231114;000000;1948.5;1975.3;1938.8;1971.1;165467
GC;D;231115;000000;1971.1;1979.2;1958.8;1965.3;127859
GC;D;231116;000000;1965.2;1991.1;1964.5;1988.6;153900
GC;D;231117;000000;1988.5;1996.4;1981.1;1983.5;100624
GC;D;231120;000000;1983.5;1996.2;1967.2;1994;173807
GC;D;231121;000000;1994.1;2009.8;1986.1;2000.8;178875
GC;D;231122;000000;2000.7;2008.3;1988.6;1996;144528
GC;D;231123;000000;1996.1;1999.4;1990.9;1994.7;57450
GC;D;231124;000000;1994.7;2004.5;1992.7;2003.7;76431
GC;D;231127;000000;2003.7;2018.9;2001.4;2015.5;165107
GC;D;231128;000000;2015.6;2072.7;2011.5;2067.4;144927
GC;D;231129;000000;2067.3;2070.8;2055.9;2064.8;158637
GC;D;231130;000000;2064.9;2067;2051.2;2059.7;138954
GC;D;231201;000000;2059.7;2095.7;2052.6;2089.3;197375
GC;D;231204;000000;2091.7;2152.3;2039.3;2050.2;372944
GC;D;231205;000000;2050.4;2057.8;2027.6;2039.6;169841
GC;D;231206;000000;2039.7;2053.4;2037.6;2043;142675
GC;D;231207;000000;2043;2057.2;2036.6;2047.8;154640
GC;D;231208;000000;2047.9;2048.7;2010.6;2019;193922
GC;D;231211;000000;2020.8;2023.7;1991.2;2000.8;159486
GC;D;231212;000000;2000.8;2012.5;1992.3;1993.1;124544
