<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
XXBTZUSD;D;220407;000000;43179.5;43920.8;42750;43469.8;1565.17601256
XXBTZUSD;D;220408;000000;43469.8;43968.7;42126;42282.6;2238.74341635
XXBTZUSD;D;220409;000000;42282.6;42805.1;42111;42764;621.74608186
XXBTZUSD;D;220410;000000;42781.7;43416.4;41805.4;42160;1121.27095145
XXBTZUSD;D;220411;000000;42164.9;42411;39240;39534.6;3301.19276951
XXBTZUSD;D;220412;000000;39530.5;40683.4;39269.4;40078.7;2170.32737648
XXBTZUSD;D;220413;000000;40078.7;41548.4;39598;41150;2414.27057701
XXBTZUSD;D;220414;000000;41150;41480;39600;39954.9;1894.67310058
XXBTZUSD;D;220415;000000;39953.7;40890.3;39800;40569.9;1177.17180956
XXBTZUSD;D;220416;000000;40570;40708.8;40011.9;40381;589.46381724
XXBTZUSD;D;220417;000000;40381.1;40652.8;39556;39681.2;982.00936665
XXBTZUSD;D;220418;000000;39680.5;41067.3;38570;40811.3;2626.83895679
XXBTZUSD;D;220419;000000;40811.3;41825.8;40600;41506.2;1433.48126987
XXBTZUSD;D;220420;000000;41506.2;42235.7;40900.8;41369.9;1847.47895334
XXBTZUSD;D;220421;000000;41370;42950;39800.6;40484.1;3322.74818736
XXBTZUSD;D;220422;000000;40479.1;40791.3;39139;39715.9;2214.67239669
XXBTZUSD;D;220423;000000;39713.5;39958.4;39310;39435.6;813.96002029
XXBTZUSD;D;220424;000000;39439.3;39911;39015.8;39467.9;1138.59124375
XXBTZUSD;D;220425;000000;39456.7;40614.5;38200.5;40438.5;4131.19598091
XXBTZUSD;D;220426;000000;40438.4;40776.9;37672;38121.7;4450.73877592
XXBTZUSD;D;220427;000000;38121.7;39446.8;37909.4;39249.9;3384.95426898
XXBTZUSD;D;220428;000000;39249.9;40349.8;38884.4;39752.8;3135.47777394
XXBTZUSD;D;220429;000000;39749.8;39920.7;38131.8;38599.5;2451.16979
XXBTZUSD;D;220430;000000;38597.5;38777.4;37608.7;37660.8;1090.27309591
XXBTZUSD;D;220501;000000;37660.7;38660;37399.4;38474.1;1633.98318627
XXBTZUSD;D;220502;000000;38470.8;39169.4;38011;38499.9;2642.20787837
