<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;220728;000000;60.725;61.75;60.725;61.75;3
USDRUB;D;220729;000000;61.5;61.5;61.5;61.5;0
USDRUB;D;220731;000000;61.5;62.2389;59.875;61.5;6
USDRUB;D;220801;000000;63.65;63.65;60.75;60.75;1
USDRUB;D;220802;000000;60.7414;60.7414;60.7414;60.7414;0
USDRUB;D;220803;000000;62.05;62.05;62.05;62.05;0
USDRUB;D;220804;000000;60.687;61.8456;60.2483;61.8456;2
USDRUB;D;220805;000000;60.5349;60.5349;60.5349;60.5349;0
USDRUB;D;220807;000000;60.5;60.528;60.475;60.5153;42
USDRUB;D;220808;000000;61.125;61.125;61.125;61.125;0
USDRUB;D;220809;000000;60.4673;60.4673;60.4673;60.4673;0
USDRUB;D;220810;000000;60.4675;61.55;59.725;61.5024;1295
USDRUB;D;220811;000000;60.385;61.802;59.6;60.6188;1117
USDRUB;D;220812;000000;60.75;60.75;60.75;60.75;0
USDRUB;D;220814;000000;60.75;61.5011;60.75;61.5011;22
USDRUB;D;220815;000000;61.4928;61.4928;61.4928;61.4928;0
USDRUB;D;220816;000000;61.4925;61.4925;61.4925;61.4925;0
USDRUB;D;220817;000000;60.4849;60.4849;60.4849;60.4849;0
USDRUB;D;220818;000000;58.875;59.9985;58.875;59.9985;1
USDRUB;D;220819;000000;58.75;58.75;58.75;58.75;0
USDRUB;D;220821;000000;58.75;59.4963;58.75;59.4858;15
USDRUB;D;220822;000000;59.9395;59.9395;59.9395;59.9395;1
USDRUB;D;220823;000000;59.535;60.3881;58;59.5;628
USDRUB;D;220824;000000;60;60.362;58.95;59.8105;1106
USDRUB;D;220825;000000;59.8185;60.625;59;60.15;1014
USDRUB;D;220826;000000;59.55;59.55;59.55;59.55;0
USDRUB;D;220828;000000;59.55;60.2987;59.55;60.2923;20
USDRUB;D;220829;000000;59.875;62.3;59.7495;61.75;476
USDRUB;D;220830;000000;60.25;61.399;59.25;59.9679;939
USDRUB;D;220831;000000;59;59;59;59;0
USDRUB;D;220901;000000;60.2057;60.75;58.17;59.46;792
USDRUB;D;220902;000000;60.2562;60.2562;60.2562;60.2562;0
USDRUB;D;220904;000000;60.235;60.8;59.17;60.2988;41
USDRUB;D;220905;000000;60.9985;60.9985;60.9985;60.9985;0
USDRUB;D;220906;000000;61.2638;61.2638;61.2638;61.2638;0
USDRUB;D;220907;000000;60.05;60.05;60.05;60.05;0
USDRUB;D;220908;000000;61.4944;61.4944;61.4944;61.4944;0
USDRUB;D;220909;000000;59.78;59.78;59.78;59.78;0
USDRUB;D;220911;000000;59.785;60.5;59.785;60.0713;9
USDRUB;D;220912;000000;60.8;61.325;59.2;59.32;1001
USDRUB;D;220913;000000;59.4982;59.4982;59.4982;59.4982;0
USDRUB;D;220914;000000;59.95;61.86;58.525;59.7118;1343
USDRUB;D;220915;000000;59.585;59.585;59.585;59.585;0
USDRUB;D;220916;000000;59.75;59.75;59.75;59.75;0
USDRUB;D;220919;000000;60.0685;60.0685;60.0685;60.0685;0
USDRUB;D;220920;000000;60.65;60.65;60.65;60.65;0
USDRUB;D;220921;000000;61.5858;61.5858;61.5858;61.5858;0
USDRUB;D;220922;000000;59.725;59.9009;59.725;59.9009;1
USDRUB;D;220923;000000;56.87;56.87;56.87;56.87;0
USDRUB;D;220925;000000;57.051;57.051;56;56.5;6
USDRUB;D;220926;000000;57.985;58.4908;57.985;58.4908;4
USDRUB;D;220927;000000;58.8969;58.8969;58.8969;58.8969;0
USDRUB;D;220928;000000;57.8826;57.8826;57.8826;57.8826;0
USDRUB;D;220929;000000;56;56;56;56;0
USDRUB;D;220930;000000;59.2;59.2;59.2;59.2;0
USDRUB;D;221002;000000;59.2;60.2847;59.2;60.2238;20
USDRUB;D;221003;000000;59.25;59.25;59.25;59.25;0
USDRUB;D;221004;000000;59.0188;59.0188;58.525;58.525;3
USDRUB;D;221005;000000;60;60;60;60;0
USDRUB;D;221006;000000;60.75;60.75;60.75;60.75;0
USDRUB;D;221007;000000;61.397;61.397;60.95;60.95;1
USDRUB;D;221010;000000;63.06;63.06;63.06;63.06;0
USDRUB;D;221011;000000;65.4919;65.4919;65.4919;65.4919;0
USDRUB;D;221012;000000;64.166;64.925;63.15;63.8;449
USDRUB;D;221013;000000;63.9923;63.9923;63.9923;63.9923;0
USDRUB;D;221014;000000;61.9;61.9;61.9;61.9;0
USDRUB;D;221016;000000;61.15;61.15;61.15;61.15;1
USDRUB;D;221017;000000;61.05;61.05;61.05;61.05;0
USDRUB;D;221018;000000;60.5;60.5;60.5;60.5;0
USDRUB;D;221019;000000;61.775;61.875;61.75;61.85;5
USDRUB;D;221020;000000;61.175;61.5;61.15;61.5;2
