<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU29007RMFS0;D;231004;000000;100.568;100.568;100.301;100.403;2117
SU29007RMFS0;D;231005;000000;100.254;100.451;100.15;100.436;12408
SU29007RMFS0;D;231006;000000;100.45;100.45;100.25;100.447;2507
SU29007RMFS0;D;231009;000000;100.112;100.339;100.111;100.22;6910
SU29007RMFS0;D;231010;000000;100.435;100.435;100.112;100.314;3880
SU29007RMFS0;D;231011;000000;100.337;100.337;100.152;100.25;3880
SU29007RMFS0;D;231012;000000;100.277;100.403;100.11;100.132;5295
SU29007RMFS0;D;231013;000000;100.132;100.315;100.13;100.295;5188
SU29007RMFS0;D;231016;000000;100.156;100.324;100.111;100.253;24994
SU29007RMFS0;D;231017;000000;100.15;100.295;100.034;100.221;1822
SU29007RMFS0;D;231018;000000;100.261;100.261;99.999;100.051;3632
SU29007RMFS0;D;231019;000000;100.1;100.258;99.98;99.98;4534
SU29007RMFS0;D;231020;000000;100.164;100.164;99.981;99.998;4861
SU29007RMFS0;D;231023;000000;100.001;100.168;99.981;99.985;2972
SU29007RMFS0;D;231024;000000;100.116;100.157;99.951;99.998;3082
SU29007RMFS0;D;231025;000000;99.993;100.163;99.937;99.956;7519
SU29007RMFS0;D;231026;000000;99.964;100.199;99.963;100.138;37992
SU29007RMFS0;D;231027;000000;100.138;100.138;99.76;99.79;25313
SU29007RMFS0;D;231030;000000;99.79;99.942;99.5;99.601;38077
SU29007RMFS0;D;231031;000000;99.601;99.949;99.557;99.816;8815
SU29007RMFS0;D;231101;000000;99.816;99.974;99.752;99.831;5616
SU29007RMFS0;D;231102;000000;99.989;100.099;99.8;99.966;12759
SU29007RMFS0;D;231103;000000;100.045;100.068;99.802;100.034;1619
SU29007RMFS0;D;231106;000000;99.751;100.072;99.4;99.969;1717
SU29007RMFS0;D;231107;000000;99.862;100.07;99.86;99.909;6191
SU29007RMFS0;D;231108;000000;100.072;100.093;99.852;100.001;12570
SU29007RMFS0;D;231109;000000;99.999;100.087;99.84;100.087;5637
SU29007RMFS0;D;231110;000000;99.95;100.093;99.74;100.092;9737
SU29007RMFS0;D;231113;000000;99.998;100.4;99.87;100.215;6685
SU29007RMFS0;D;231114;000000;100.066;100.199;100.001;100.17;9721
SU29007RMFS0;D;231115;000000;100.018;100.432;99.901;99.999;3139
SU29007RMFS0;D;231116;000000;100.096;100.147;99.852;100.116;16182
SU29007RMFS0;D;231117;000000;100.147;100.438;100.011;100.116;1140
SU29007RMFS0;D;231120;000000;100.053;100.439;100.05;100.216;3763
SU29007RMFS0;D;231121;000000;100.151;100.199;100.056;100.061;4113
SU29007RMFS0;D;231122;000000;100.044;100.2;100.03;100.2;8454
SU29007RMFS0;D;231123;000000;100.177;100.177;99.901;100.029;46297
SU29007RMFS0;D;231124;000000;100.05;100.497;99.922;100.08;2707
SU29007RMFS0;D;231127;000000;100.031;100.24;100.03;100.102;12201
SU29007RMFS0;D;231128;000000;99.981;100.268;99.977;100.212;6594
SU29007RMFS0;D;231129;000000;100.214;100.214;99.982;100.076;12885
SU29007RMFS0;D;231130;000000;100.148;100.212;100.011;100.012;1368
SU29007RMFS0;D;231201;000000;100.007;100.147;100.003;100.112;3589
SU29007RMFS0;D;231204;000000;100.002;100.196;100.002;100.139;5286
SU29007RMFS0;D;231205;000000;100.005;100.215;99.99;100.2;10910
SU29007RMFS0;D;231206;000000;100.197;100.199;99.981;99.981;1898
SU29007RMFS0;D;231207;000000;100.008;100.118;99.961;100.011;2835
SU29007RMFS0;D;231208;000000;100.117;100.427;100;100.171;19309
SU29007RMFS0;D;231211;000000;100.044;100.199;100.011;100.189;5855
SU29007RMFS0;D;231212;000000;99.965;100.186;99.965;99.999;5904
SU29007RMFS0;D;231213;000000;99.96;100.149;99.96;100.147;10287
SU29007RMFS0;D;231214;000000;100.133;100.133;99.871;100.097;10406
SU29007RMFS0;D;231215;000000;100.097;100.133;99.88;100.119;17282
SU29007RMFS0;D;231218;000000;100.139;100.139;99.143;99.97;12970
SU29007RMFS0;D;231219;000000;100.002;100.136;99.501;100.042;6568
SU29007RMFS0;D;231220;000000;99.651;100.359;99.651;100.358;11629
SU29007RMFS0;D;231221;000000;100.358;100.358;100.131;100.172;4635
SU29007RMFS0;D;231222;000000;100.172;100.235;100.052;100.1;3488
SU29007RMFS0;D;231225;000000;100.052;100.243;100.001;100.091;23190
SU29007RMFS0;D;231226;000000;100;100.245;100;100.15;4655
SU29007RMFS0;D;231227;000000;100.29;100.339;100.154;100.338;6550
SU29007RMFS0;D;231228;000000;100.196;100.467;100.189;100.392;23638
SU29007RMFS0;D;231229;000000;100.396;100.559;100.21;100.454;106335
SU29007RMFS0;D;240103;000000;100.451;100.792;100.299;100.7;10912
SU29007RMFS0;D;240104;000000;100.699;100.789;100.551;100.785;2131
SU29007RMFS0;D;240105;000000;100.563;100.796;100.557;100.67;1906
SU29007RMFS0;D;240108;000000;100.555;100.735;100.551;100.717;1197
SU29007RMFS0;D;240109;000000;100.777;100.874;100.573;100.858;63894
SU29007RMFS0;D;240110;000000;100.694;101.237;100.689;100.966;26769
SU29007RMFS0;D;240111;000000;100.743;101.199;100.743;101.105;18010
SU29007RMFS0;D;240112;000000;101.179;101.288;101.05;101.288;5985
SU29007RMFS0;D;240115;000000;101.289;101.289;101.067;101.198;11001
SU29007RMFS0;D;240116;000000;101.133;101.347;101.1;101.2;11253
SU29007RMFS0;D;240117;000000;101.249;101.398;101.137;101.199;5617
SU29007RMFS0;D;240118;000000;101.164;101.363;101.164;101.339;7999
SU29007RMFS0;D;240119;000000;101.389;101.389;101.231;101.31;2340
SU29007RMFS0;D;240122;000000;101.187;101.369;101.022;101.251;1771
SU29007RMFS0;D;240123;000000;101.246;101.31;101.03;101.31;2090
SU29007RMFS0;D;240124;000000;101.251;101.643;101.176;101.557;62625
SU29007RMFS0;D;240125;000000;101.443;101.599;101.321;101.594;5253
SU29007RMFS0;D;240126;000000;101.602;101.878;101.6;101.72;4829
SU29007RMFS0;D;240129;000000;101.045;101.726;101.044;101.721;4877
SU29007RMFS0;D;240130;000000;101.307;101.926;100.9;101.702;2821
SU29007RMFS0;D;240131;000000;101.782;101.896;101.7;101.7;1458
SU29007RMFS0;D;240201;000000;101.702;101.887;101.7;101.844;3952
SU29007RMFS0;D;240202;000000;101.895;101.895;101.018;101.745;6339
SU29007RMFS0;D;240205;000000;101.514;101.834;101.514;101.7;3342
SU29007RMFS0;D;240206;000000;101.829;101.834;101.695;101.695;6968
SU29007RMFS0;D;240207;000000;101.829;101.889;101.701;101.82;3291
SU29007RMFS0;D;240208;000000;101.702;101.845;101.7;101.799;13806
SU29007RMFS0;D;240209;000000;101.443;101.89;101.423;101.86;3368
SU29007RMFS0;D;240212;000000;101.868;101.868;101.466;101.805;13498
SU29007RMFS0;D;240213;000000;101.208;101.916;101.207;101.707;9149
SU29007RMFS0;D;240214;000000;101.7;101.8;101.7;101.8;4715
SU29007RMFS0;D;240215;000000;101.8;101.894;101.722;101.74;20379
SU29007RMFS0;D;240216;000000;101.922;102.038;101.75;101.955;35303
SU29007RMFS0;D;240219;000000;101.954;102.099;101.801;101.834;8171
SU29007RMFS0;D;240220;000000;101.8;102.04;101.727;101.91;21102
SU29007RMFS0;D;240221;000000;102.027;102.031;101.801;101.806;5006
SU29007RMFS0;D;240222;000000;101.728;102.066;101.728;101.96;2740
SU29007RMFS0;D;240226;000000;101.956;102.037;101.252;101.891;6182
SU29007RMFS0;D;240227;000000;101.804;102.1;101.794;102.04;3131
SU29007RMFS0;D;240228;000000;101.951;102.231;101.951;102.15;25327
SU29007RMFS0;D;240229;000000;102.307;102.904;102.201;102.511;29052
SU29007RMFS0;D;240301;000000;102.637;102.706;102.288;102.588;13324
SU29007RMFS0;D;240304;000000;102.585;102.927;102.309;102.73;76452
SU29007RMFS0;D;240305;000000;102.721;103;102.001;102.95;15049
SU29007RMFS0;D;240306;000000;102.99;103.5;102;103.235;35328
SU29007RMFS0;D;240307;000000;103.02;103.905;103.01;103.622;37172
SU29007RMFS0;D;240311;000000;103.622;103.906;103.384;103.9;21876
